Field=#~Integer~#~50|Field=Comment~String~Comment~113|Field=Description~String~Description~113|Field=Designator~String~Designator~113|Field=Footprint~String~Footprint~113|Field=LibRef~String~LibRef~113|Field=Quantity~Integer~Quantity~113|Field=Value~String~Value~109|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~VoIP.PrjPcb|ReportField=ProjectFullPath~C:\Users\will\Documents\GitHub\EE52\Altium\VoIP\VoIP.PrjPcb|ReportField=Title~Bill of Materials For Project [VoIP.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~229|ReportField=ReportTime~8:37:43 AM|ReportField=ReportDate~12/1/2017|ReportField=ReportDateTime~12/1/2017 8:37:43 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Will Werst|ReportField=CheckedBy~|ReportField=CompanyName~Caltech EE/CS 52|ReportField=CurrentDate~12/1/2017|ReportField=CurrentTime~8:37:28 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\will\Documents\GitHub\EE52\Altium\VoIP\Main.SchDoc|ReportField=DocumentName~Main.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~12/1/2017|ReportField=Organization~|ReportField=ProjectName~VoIP.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~Main|ReportField=DataSourceFileName~VoIP.PrjPcb|ReportField=DataSourceFullPath~C:\Users\will\Documents\GitHub\EE52\Altium\VoIP\VoIP.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1||Capacitor (Semiconductor SIM Model)|C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C24, C25, C32, C33, C34, C35, C36, C37, C38, C43, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C63, C65, C66, C67, C68, C69, C70, C80, C81, C82, C85, C86, C87, C89, C90, C92, C94, C95, C96, C97, C98, C99, C100, C101, C102, C103, C104, C105, C106, C107|1608[0603]|Cap Semi|71|0.1uF
2||Capacitor (Semiconductor SIM Model)|C22, C29|1608[0603]|Cap Semi|2|1nF
3||Capacitor (Semiconductor SIM Model)|C23, C27, C59, C60|1608[0603]|Cap Semi|4|30pF
4||Capacitor (Semiconductor SIM Model)|C26, C31|1608[0603]|Cap Semi|2|10nF
5||Capacitor (Semiconductor SIM Model)|C28, C30|1608[0603]|Cap Semi|2|16pF
6||Capacitor (Semiconductor SIM Model)|C39, C40, C41, C42, C44, C45, C46, C47, C48, C75, C77, C79, C91|1608[0603]|Cap Semi|13|1uF
7|Tant|Capacitor (Semiconductor SIM Model)|C61|C1206|Cap Semi|1|10uF
8||Capacitor (Semiconductor SIM Model)|C62, C64|1608[0603]|Cap Semi|2|0.22uF
9||Capacitor (Semiconductor SIM Model)|C71, C72, C73, C74, C76, C78|C1206|Cap Semi|6|10uF
10||Capacitor (Semiconductor SIM Model)|C83, C84, C88, C93|1608[0603]|Cap Semi|4|0.01uF
11|Newhaven Display NHD-C12832A1Z-FSW-FBW-3V3||DISP1|PCB-1539121-1|SYM-1539121-1|1|
12|SI-50170|MagJack SI-50170 Ethernet Jack with LEDs|J1|SI51070|SI-50170|1|
13|Speaker|3.5mm Stereo Jack with Switches PHONEJACK STEREO SW|J2|SJ1-352|PHONEJACK STEREO SW|1|
14|Microphone|3.5mm Stereo Jack with Switches PHONEJACK STEREO SW|J3|SJ1-352|PHONEJACK STEREO SW|1|
15|Power Connector|EJ508A|J4|EJ508A|EJ508A|1|
16|Header 3|Header, 3-Pin|JTAG_SEL, P3|HDR1X3|Header 3|2|
17|KEYPAD4X4|Grayhill 4x4 Keypad|K1|SIP8|KEYPAD4X4|1|
18|742792116|SMD EMI Suppression Ferrite Bead WE-CBF, Z = 500 Ohm|L1, L2, L3, L4|SMD-1206|742792116|4|
19|LED|LED|L5, L6, L7|LTST-C191KFKT|LTST-C191KFKT|3|
20|Header 10X2|Header, 10-Pin, Dual row|P1|HDR2X10|Header 10X2|1|
21|Header 4|Header, 4-Pin|P2|HDR1X4|Header 4|1|
22|Header 8X2|Header, 8-Pin, Dual row|P4, P5, P6, P7|HDR2X8|Header 8X2|4|
23|Header 4X2|Header, 4-Pin, Dual row|P8|HDR2X4|Header 4X2|1|
24|Header 6|Header, 6-Pin|P9|HDR1X6|Header 6|1|
25|MMBFJ175LT1|JFET Chopper, P-Channel - Depletion, 3-Pin SOT-23, Tape and Reel|Q1|ONSC-SOT-23-3-318-08_V|MMBFJ175LT1|1|
26|DMG3420U||Q2|SOT23|DMG3420|1|
27|Res3|Resistor|R1|J1-0603|Res3|1|909
28|Res3|Resistor|R2|J1-0603|Res3|1|1000
29|Res3|Resistor|R3|J1-0603|Res3|1|12K
30|Res3|Resistor|R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R45, R46|J1-0603|Res3|14|10K
